"Period","Sex","Age","Population","Colorectal (C18)","Lung (C33-34)"
"2011","Male","0","45277","0","0"
"2011","Male","1","47612.5","0","0"
"2011","Male","2","50122.5","0","0"
"2011","Male","3","50600.5","0","0"
"2011","Male","4","50785.5","0","0"
"2011","Male","5","50927.5","0","0"
"2011","Male","6","49762.5","0","0"
"2011","Male","7","48925.5","0","0"
"2011","Male","8","49248","0","0"
"2011","Male","9","49802.5","0","0"
"2011","Male","10","50080.5","0","0"
"2011","Male","11","49241.5","0","0"
"2011","Male","12","48784.5","0","0"
"2011","Male","13","50115","0","0"
"2011","Male","14","52405.5","0","0"
"2011","Male","15","55447.5","0","0"
"2011","Male","16","57623.5","0","0"
"2011","Male","17","58739.5","0","0"
"2011","Male","18","60703","0","0"
"2011","Male","19","63705","0","0"
"2011","Male","20","65401.5","0",NA
"2011","Male","21","65110.5","0",NA
"2011","Male","22","64942.5","0",NA
"2011","Male","23","65471.5","1",NA
"2011","Male","24","66708.5","0",NA
"2011","Male","25","68793","0","0"
"2011","Male","26","68260","0","1"
"2011","Male","27","66999.5","1","0"
"2011","Male","28","68974","1","0"
"2011","Male","29","72788.5","1","0"
"2011","Male","30","76515","0","0"
"2011","Male","31","80040","0","0"
"2011","Male","32","83006.5","0","1"
"2011","Male","33","85174.5","0","0"
"2011","Male","34","88037","1","0"
"2011","Male","35","91283","2","3"
"2011","Male","36","90568","1","3"
"2011","Male","37","81269","3","1"
"2011","Male","38","73980","0","4"
"2011","Male","39","72763.5","1","1"
"2011","Male","40","72838.5","5","11"
"2011","Male","41","73344","2","11"
"2011","Male","42","72704","1","14"
"2011","Male","43","70909","1","9"
"2011","Male","44","66022","6","4"
"2011","Male","45","61676.5","7","44"
"2011","Male","46","59686.5","5","27"
"2011","Male","47","58347.5","5","23"
"2011","Male","48","56783","5","31"
"2011","Male","49","57135.5","5","28"
"2011","Male","50","59952.5","11","96"
"2011","Male","51","60443","23","95"
"2011","Male","52","60801","13","85"
"2011","Male","53","62697","11","99"
"2011","Male","54","67136","11","100"
"2011","Male","55","73026.5","30","195"
"2011","Male","56","76333.5","23","194"
"2011","Male","57","73549","30","178"
"2011","Male","58","65303","33","197"
"2011","Male","59","60620","31","199"
"2011","Male","60","61114","45","209"
"2011","Male","61","59688.5","47","197"
"2011","Male","62","56160","52","202"
"2011","Male","63","53499","39","247"
"2011","Male","64","48338","32","208"
"2011","Male","65","43563","50","196"
"2011","Male","66","44697.5","39","158"
"2011","Male","67","44557.5","51","176"
"2011","Male","68","42065","62","196"
"2011","Male","69","39630","61","189"
"2011","Male","70","37320.5","55","154"
"2011","Male","71","34775","66","164"
"2011","Male","72","31440","59","158"
"2011","Male","73","29227.5","60","151"
"2011","Male","74","26928","55","163"
"2011","Male","75","25650.5","57","106"
"2011","Male","76","24773.5","57","117"
